Año,Trimestre,Ingresos (miles de pesos),promedio_dolar_trimestre,Ingresos (miles de dólares),Año Trimestre
2022,3,67055930,137.16666666666666,488864.617253949,2022 T3
2022,2,60335724,119.16666666666667,506313.7678321678,2022 T2
2022,1,55589997,106.91666666666667,519937.61808261886,2022 T1
2021,4,45467887,100.25,453545.0074812968,2021 T4
2021,3,42999944,96.83333333333333,444061.3838209983,2021 T3
2021,2,38239667,93.66666666666667,408252.67259786476,2021 T2
2021,1,36676371,88.83333333333333,412867.21575984993,2021 T1
2020,4,33539703,80.41666666666667,417074.02694300516,2020 T4
2020,3,31997445,73.08333333333333,437821.36830102623,2020 T3
2020,2,32102476,65.91666666666667,487016.07079646015,2020 T2
2020,1,29946216,59.25,505421.36708860757,2020 T1
2019,4,24169251,57.99,416783.08329022245,2019 T4
2019,3,21652748,51.800000000000004,418006.7181467181,2019 T3
2019,2,20743118,42.833333333333336,484275.12840466923,2019 T2
2019,1,20207414,39.0,518138.8205128205,2019 T1
2018,4,16637687,36.199999999999996,459604.6132596686,2018 T4
2018,3,15410981,34.46666666666667,447127.1083172147,2018 T3
2018,2,14319467,24.366666666666664,587666.2243502053,2018 T2
2018,1,13171459,19.716666666666665,668036.8047337278,2018 T1
2017,4,11226127,17.650000000000002,636041.1898016996,2017 T4
2017,3,10065998,17.21666666666667,584665.9051306873,2017 T3
2017,2,9678647,15.833333333333334,611282.9684210526,2017 T2
2017,1,8701201,15.4,565013.0519480519,2017 T1
2016,4,7483980,15.466666666666667,483878.0172413793,2016 T4
2016,3,6912442,14.866666666666667,464962.466367713,2016 T3
2016,2,6534241,14.233333333333334,459080.1639344262,2016 T2
2016,1,5936845,14.493333333333334,409625.91996320145,2016 T1
2015,4,5376899,10.653333333333334,504715.1752190237,2015 T4
2015,3,5153739,9.209999999999999,559580.7817589577,2015 T3
2015,2,4701791,8.9,528291.1235955056,2015 T2
2015,1,4876385,8.633333333333335,564832.2393822393,2015 T1
2014,4,3950441,8.43,468616.9632265718,2014 T4
2014,3,3478638,8.243333333333334,421994.0962393853,2014 T3
2014,2,3270816,8.0,408852.0,2014 T2
2014,1,2984054,7.866666666666667,379328.89830508473,2014 T1
